Batch ,Sample_ID
353,NH22-959
353,NH22-993
354,NH22-1034
355,NH22-1006
355,NH22-1028
357,NH16-793
357,NH22-1079
357,NH22-795
358,NH22-1109
358,NH22-1122
358,NH22-1153
358,NH22-966
359,NH22-1163
359,NH22-1169
359,NH22-925
359,NH22-932
360,NH15-1188
360,NH22-1167
360,NH22-1173
360,NH22-1182
360,NH22-1195
360,NH22-127
361,NH22-1196
361,NH22-1200
361,NH22-1226
361,NH22-1227
362,NH22-1187
362,NH22-1211
362,NH22-1228
362,NH22-1229
362,NH22-1231
362,NH22-1232
363,NH15-1018
363,NH22-1127
363,NH22-1217
363,NH22-1241
363,NH22-1252
363,NH22-1253
364,NH22-1246
364,NH22-1265
364,NH22-1317
365,NH22-1180
365,NH22-1184
365,NH22-1282
365,NH22-1292
366,NH22-1293
366,NH22-1310
367,NH22-1339
367,NH22-1341
367,NH22-1354
368,NH22-1357
368,NH22-1358
368,NH22-1372
369,NH22-1194
369,NH22-1361
369,NH22-1376
369,NH22-1408
371,NH21-2260
371,NH22-1192
371,NH22-1427
371,NH22-1454
371,NH22-1456
371,NH22-1457
371,NH22-1459
372,NH22-1428
372,NH22-1440
372,NH22-1444
372,NH22-1473
372,NH22-1474
372,NH22-1475
372,NH22-1498
372,NH22-1503
373,NH22-1494
373,NH22-1499
373,NH22-1512
373,NH22-1543
374,NH22-1317
374,NH22-1463
374,NH22-1480
374,NH22-1483
374,NH22-1516
375,NH22-1265
375,NH22-1515
375,NH22-1517
375,NH22-1561
375,NH22-1578
376,NH22-1500
376,NH22-1559
376,NH22-1587
376,NH22-1611
377,NH22-1276
377,NH22-1610
377,NH22-1630
378,NH22-1442
378,NH22-1534
378,NH22-1654
378,NH22-897
379,NH22-1621
380,NH22-1613
380,NH22-1664
380,NH22-1697
380,NH22-1729
381,NH22-1586
381,NH22-1710
381,NH22-1725
382,NH22-1694
382,NH22-1702
382,NH22-1734
382,NH22-1736
383,NH22-1775
383,NH22-1786
384,NH22-1795
384,NH22-1796
384,NH22-1803
384,NH22-1822
385,NH22-1833
385,NH22-1836
385,NH22-1837
385,NH22-1838
385,NH22-1865
386,NH22-1852
386,NH22-1854
386,NH22-1857
386,NH22-1881
387,NH22-1870
387,NH22-1900
387,NH22-1905
387,NH22-456
388,NH22-1938
388,NH22-1943
388,NH22-1946
389,NH22-1920
389,NH22-1924
389,NH22-1925
389,NH22-1960
389,NH22-1963
390,NH22-1849
390,NH22-1970
391,NH22-1989
391,NH22-2016
391,NH22-2025
391,NH22-2029
392,NH20-2312
392,NH22-2019
392,NH22-2030
392,NH22-2055
392,NH22-2057
392,NH22-2059
392,NH22-2062
393,NH22-2040
393,NH22-2043
394,NH21-2998
394,NH22-1879
394,NH22-2011
394,NH22-2038
394,NH22-2041
394,NH22-2080
395,NH22-2041
395,NH22-2078
395,NH22-2106
395,NH22-2108
396,NH22-2112
396,NH22-2115
396,NH22-2120
397,NH22-2137
398,NH22-2142
398,NH22-2146
398,NH22-2181
398,NH22-2185
399,NH22-2180
399,NH22-2182
399,NH22-2183
399,NH22-2190
399,NH22-2199
400,NH22-2231
401,NH22-2226
401,NH22-2227
401,NH22-2266
402,NH22-2210
402,NH22-2240
402,NH22-2247
402,NH22-2248
403,NH22-2126
403,NH22-2282
403,NH22-2285
403,NH22-2316
404,NH22-2308
404,NH22-2309
404,NH22-2328
405,NH22-2324
405,NH22-2346
405,NH22-2349
405,NH22-2353
406,NH22-2332
406,NH22-2362
406,NH22-2369
407,NH16-1485
407,NH22-2361
408,NH19-1419
408,NH22-2380
408,NH22-2392
408,NH22-2417
408,NH22-2439
409,NH22-2397
409,NH22-2434
409,NH22-2467
410,NH22-2395
410,NH22-2503
410,NH22-2506
410,NH22-2509
410,NH22-2523
410,NH22-2529
411,NH19-2671
411,NH22-2491
411,NH22-2492
411,NH22-2495
412,NH15-1334
412,NH22-2496
412,NH22-2547
412,NH22-2550
412,NH22-2599
413,NH22-2548
413,NH22-2563
413,NH22-2568
413,NH22-2573
413,NH22-2597
413,NH22-2602
414,NH22-2582
414,NH22-2632
415,NH22-2634
415,NH22-2637
416,NH22-2583
416,NH22-2610
416,NH22-2644
416,NH22-2659
416,NH22-2679
417,NH22-2626
417,NH22-2707
418,NH22-2558
418,NH22-2643
418,NH22-2675
418,NH22-2689
418,NH22-2726
419,NH22-2590
419,NH22-2666
419,NH22-2737
420,NH22-2736
420,NH22-2739
420,NH22-2754
420,NH22-2764
421,NH22-2782
422,NH22-2783
422,NH22-2797
422,NH22-2812
422,NH22-2828
422,NH22-2829
422,NH22-2830
423,NH22-2766
423,NH22-2803
423,NH22-2806
423,NH22-2814
423,NH22-2822
423,NH22-2855
424,NH22-2349
424,NH22-2767
424,NH22-2823
424,NH22-2836
424,NH22-2856
425,NH22-2863
425,NH22-2864
425,NH22-2887
426,NH13-1634
426,NH17-2901
426,NH22-1767
426,NH22-2870
426,NH22-2871
426,NH22-2885
427,NH22-2851
427,NH22-2880
427,NH22-2921
428,NH22-2613
428,NH22-2778
428,NH22-2948
428,NH22-2962
429,NH22-2834
429,NH22-2970
429,NH22-2972
429,NH22-2976
430,NH22-2984
430,NH22-2995
431,NH22-2947
431,NH22-2957
431,NH22-3052
431,NH22-3056
432,NH22-3005
432,NH22-3019
432,NH22-3033
432,NH22-3039
433,NH22-3071
433,NH22-3076
434,NH22-2779
435,NH21-1201
435,NH22-3081
435,NH22-3095
435,NH22-3147
436,NH22-3122
436,NH22-3152
436,NH22-3163
436,NH22-3164
437,NH22-3129
437,NH22-3134
437,NH22-3153
437,NH22-3155
437,NH22-3179
438,NH22-2994
438,NH22-3157
438,NH22-3170
438,NH22-3206
439,NH22-2813
439,NH22-3012
439,NH22-3089
439,NH22-3161
440,NH22-3207
440,NH22-3217
440,NH22-3225
440,NH22-3227
441,NH22-3223
441,NH22-3257
442,NH22-3258
442,NH22-3295
442,NH22-3313
442,NH22-3330
443,NH22-2269
443,NH22-3166
443,NH22-3199
443,NH22-3295
443,NH22-3309
444,NH22-3358
444,NH22-3363
444,NH22-3380
444,NH22-3399
445,NH22-3366
446,NH22-3341
446,NH22-3386
446,NH22-3427
446,NH22-3447
447,NH22-3327
447,NH22-3469
448,NH22-3442
448,NH22-3444
448,NH22-3468
448,NH22-3484
449,NH19-3068
